City Name,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Datetime
Aksarka,66.5606,67.7975,27.72,83,95,16.28,RU,18000
Pochutla,15.7432,-96.4661,80.42,85,70,5.46,MX,-18000
Yangi Marg`ilon,40.4272,71.7189,40.42,34,0,2.39,UZ,18000
Nuuk,64.1835,-51.7216,29.01,37,75,14.97,GL,-7200
Elko,41.0002,-115.5012,44.74,71,98,5.01,US,-25200
Yulara,-25.2406,130.9889,73.24,25,75,20.71,AU,34200
Bay Saint Louis,30.3088,-89.33,76.01,85,1,3.44,US,-18000
Grand-Lahou,5.1367,-5.0242,77.2,88,92,5.77,CI,0
Parkes,-33.1333,148.1833,61.77,36,0,11.5,AU,39600
Prince Rupert,54.3161,-130.3201,43.84,88,91,9.13,CA,-25200
Esperance,-33.8667,121.9,62.42,49,7,18.1,AU,28800
Los Llanos de Aridane,28.6585,-17.9182,65.12,78,75,11.5,ES,3600
Menongue,-14.6585,17.691,67.12,70,54,5.1,AO,3600
Khandyga,62.6667,135.6,11.14,92,100,4.29,RU,32400
Shizunai-furukawachō,42.3339,142.3669,52.57,64,22,5.64,JP,32400
Pacific Grove,36.6177,-121.9166,66.45,77,1,3.0,US,-25200
Salalah,17.0151,54.0924,73.49,64,0,5.75,OM,14400
Te Anau,-45.4167,167.7167,57.74,77,100,0.89,NZ,46800
Huilong,31.8111,121.655,67.03,62,100,7.4,CN,28800
Ulladulla,-35.35,150.4667,68.77,67,93,6.62,AU,39600
La Asuncion,11.0333,-63.8628,80.38,78,69,17.22,VE,-14400
Knysna,-34.0363,23.0471,55.27,82,57,5.12,ZA,7200
Arraial do Cabo,-22.9661,-42.0278,71.19,86,0,32.68,BR,-10800
Brae,60.3964,-1.353,53.51,88,100,21.65,GB,3600
Susanville,40.4163,-120.653,42.8,89,99,8.01,US,-25200
Sokolo,14.7328,-6.1219,86.76,45,90,12.03,ML,0
Aguada de Pasajeros,22.385,-80.8508,77.14,83,100,1.52,CU,-14400
Kenai,60.5544,-151.2583,47.03,65,20,18.41,US,-28800
Saint-Pierre,-21.3393,55.4781,74.84,81,75,6.91,RE,14400
Hamilton,39.1834,-84.5333,56.66,83,90,3.44,US,-14400
Athens,37.9795,23.7162,68.95,86,2,3.0,GR,10800
Le Vauclin,14.5452,-60.8388,80.65,74,40,6.91,MQ,-14400
Chokurdakh,70.6333,147.9167,-2.22,98,100,6.51,RU,39600
Shubarkuduk,49.1447,56.4872,45.28,39,5,9.86,KZ,18000
Nador,35.174,-2.9287,64.65,77,20,5.75,MA,3600
Lučani,43.8608,20.1381,46.85,90,90,2.53,RS,7200
Ouahigouya,13.5828,-2.4216,83.75,48,98,4.72,BF,0
Dombarovskiy,50.7587,59.5386,45.93,66,64,11.77,RU,18000
Sulingen,52.6833,8.8,42.91,82,18,7.31,DE,7200
Korla,41.7597,86.1469,49.35,38,100,4.5,CN,28800
Ayagoz,47.9714,80.4392,33.48,55,95,8.61,KZ,21600
Sitka,57.0531,-135.33,48.09,66,90,10.36,US,-28800
Vilhena,-12.7406,-60.1458,75.25,70,85,3.98,BR,-14400
Longyearbyen,78.2186,15.6401,19.24,73,20,4.61,SJ,7200
Batagay-Alyta,67.8006,130.4114,5.14,96,100,2.71,RU,32400
Iskateley,67.6803,53.1512,25.48,90,37,7.49,RU,10800
São Borja,-28.6606,-56.0044,61.95,96,80,12.86,BR,-10800
Bangolo,7.0069,-7.475,71.1,99,78,1.28,CI,0
Itaituba,-4.2761,-55.9836,77.09,90,99,2.73,BR,-10800
Atar,20.5169,-13.0499,79.54,17,0,7.09,MR,0
Durango,24.8333,-104.8333,67.91,36,0,7.87,MX,-18000
Mount Isa,-20.7333,139.5,87.57,37,75,4.61,AU,36000
Namtsy,62.7161,129.6658,24.91,96,100,5.39,RU,32400
Esil,51.9556,66.4042,46.47,89,82,14.45,KZ,21600
Mattawa,46.7379,-119.9028,57.15,58,94,7.38,US,-25200
Nago,26.5881,127.9761,75.27,66,88,7.52,JP,32400
Nishihara,26.1842,127.7558,74.48,65,40,11.5,JP,32400
Mazatlán,23.2167,-106.4167,86.02,84,1,4.0,MX,-21600
Katsuura,35.1333,140.3,63.19,58,55,7.29,JP,32400
Russell,32.3502,-85.1999,65.8,82,1,0.0,US,-18000
Kargasok,59.0556,80.8572,46.9,76,100,18.92,RU,25200
Dubbo,-32.25,148.6167,64.53,39,0,14.97,AU,39600
Jutaí,-5.1833,-68.9,77.63,84,47,3.09,BR,-14400
Tuy Hoa,13.0833,109.3,76.87,93,100,8.01,VN,25200
Hazorasp,41.3194,61.0742,47.12,31,0,9.98,UZ,18000
Lorengau,-2.0226,147.2712,84.6,71,75,10.74,PG,36000
Hong Kong,22.2855,114.1577,69.33,76,87,1.99,HK,28800
Trelew,-43.249,-65.3051,61.2,16,77,29.75,AR,-10800
Sulzbach-Rosenberg,49.4983,11.7517,34.75,87,67,2.46,DE,7200
Xiangxiang,27.7333,112.5333,55.04,75,0,3.8,CN,28800
Jining,35.405,116.5814,59.0,1,96,4.59,CN,28800
Ingham,42.6,-84.3833,48.38,85,90,3.44,US,-14400
Abonnema,4.7084,6.7931,73.62,93,87,2.75,NG,3600
Turukhansk,65.8167,87.9833,32.5,98,100,12.15,RU,25200
Margate,51.3813,1.3862,55.31,78,47,4.0,GB,3600
Koundara,12.4833,-13.3,77.11,85,90,4.56,GN,0
Muros,42.7762,-9.0603,57.83,95,3,5.14,ES,7200
Edgewater,28.9889,-80.9023,78.3,73,20,11.5,US,-14400
Coahuayana Viejo,18.7333,-103.6833,83.68,82,99,3.56,MX,-18000
Peniche,39.3558,-9.3811,62.1,89,15,8.5,PT,3600
Bani Walid,31.7566,13.9942,76.1,42,99,8.08,LY,7200
Kawalu,-7.3817,108.2082,76.21,88,100,1.9,ID,25200
Tual,-5.6667,132.75,84.2,75,99,14.79,ID,32400
Usinsk,65.9939,57.5281,19.63,92,27,11.54,RU,10800
Charter Township of Clinton,42.587,-82.9199,50.94,76,75,0.0,US,-14400
Ola,59.5833,151.2833,25.66,61,100,11.16,RU,39600
Kitimat,54.0524,-128.6534,45.91,36,100,0.49,CA,-25200
Morón,-34.6534,-58.6198,65.95,52,35,1.01,AR,-10800
Broome,42.2506,-75.833,46.2,85,75,0.0,US,-14400
Thompson,55.7435,-97.8558,36.55,70,100,4.52,CA,-18000
Kavaratti,10.5669,72.642,81.27,75,94,2.95,IN,19800
College,64.8569,-147.8028,42.75,69,40,0.0,US,-28800
Impfondo,1.6381,18.0667,70.52,98,100,2.73,CG,3600
Port Hardy,50.6996,-127.4199,49.55,83,54,13.02,CA,-25200
Husavik,66.0449,-17.3389,40.21,96,100,4.47,IS,0
Owando,-0.4819,15.8999,70.16,98,66,2.33,CG,3600
Nurota,40.5614,65.6886,46.49,36,0,5.64,UZ,18000
Uray,60.1247,64.7758,38.34,77,44,13.67,RU,18000
Phuket,8.0,98.25,84.09,100,20,2.3,TH,25200
Berlevåg,70.8578,29.0864,36.72,63,100,24.43,NO,7200
Katobu,-4.9408,122.5276,84.07,71,87,1.7,ID,28800
Jackson,42.4165,-122.8345,58.15,74,75,5.75,US,-25200
Nantucket,41.2835,-70.0995,57.31,67,20,9.22,US,-14400
Takoradze,4.8845,-1.7554,77.13,87,97,4.81,GH,0
Kununurra,-15.7667,128.7333,87.78,62,40,8.05,AU,28800
Camargo,27.6667,-105.1667,79.95,18,0,3.53,MX,-21600
Yar-Sale,66.8333,70.8333,28.04,95,99,11.01,RU,18000
Tsuruoka,38.7217,139.8217,58.01,68,96,9.22,JP,32400
Pilar,-9.5972,-35.9567,75.99,87,36,9.22,BR,-10800
Konnūr,16.2,74.75,70.99,87,92,5.19,IN,19800
Caravelas,-17.7125,-39.2481,75.45,81,54,5.35,BR,-10800
Khāsh,28.2211,61.2158,51.53,14,0,1.21,IR,12600
Arrondissement d'Ajaccio,42.0,8.9167,59.16,88,0,6.91,FR,7200
Vrangel',42.7297,133.0839,49.23,50,0,7.14,RU,36000
Sukumo,32.9333,132.7333,61.41,57,55,2.59,JP,32400
Nouadhibou,20.931,-17.0347,68.2,81,0,18.66,MR,0
Iracoubo,5.4802,-53.2011,77.81,88,99,9.86,GF,-10800
San Quintín,30.4833,-115.95,64.98,70,35,20.94,MX,-25200
Warrnambool,-38.3833,142.4833,57.81,65,43,16.89,AU,39600
Newport,51.5877,-2.9984,55.94,72,97,16.98,GB,3600
Yauya,-8.9833,-77.3,57.97,57,68,5.73,PE,-18000
Coyhaique,-45.5752,-72.0662,38.66,96,54,7.25,CL,-10800
Hambantota,6.1241,81.1185,78.55,81,42,12.37,LK,19800
Zachary,30.6485,-91.1565,78.67,87,1,8.05,US,-18000
Swift Current,50.2834,-107.8014,49.55,56,98,15.79,CA,-21600
Saldanha,-33.0117,17.9442,57.78,75,6,8.23,ZA,7200
Tougan,13.0667,-3.0667,81.05,58,99,2.1,BF,0
Aktau,43.65,51.2,43.38,42,3,12.28,KZ,18000
Sítio Novo do Tocantins,-5.5183,-47.4611,75.34,85,100,2.57,BR,-10800
Xinzhou,38.4092,112.7333,45.3,66,29,1.05,CN,28800
Christchurch,-43.5333,172.6333,67.95,68,100,7.0,NZ,46800
Moura,38.1401,-7.4486,58.68,48,38,3.22,PT,3600
Lata,40.1629,-8.3327,57.81,68,22,2.26,PT,3600
Tuatapere,-46.1333,167.6833,57.22,83,100,1.07,NZ,46800
Rūdbār,30.15,62.6,53.73,24,0,3.96,AF,16200
Baruun-Urt,46.6806,113.2792,34.05,41,19,7.54,MN,28800
Nagykovácsi,47.65,19.0167,42.6,69,1,4.61,HU,7200
Vetlanda,57.4289,15.0776,33.55,79,81,4.43,SE,7200
Kahului,20.8947,-156.47,84.22,67,40,23.02,US,-36000
Baykit,61.67,96.37,34.2,95,100,9.84,RU,25200
Honningsvåg,70.9821,25.9704,38.75,53,100,22.84,NO,7200
Soe,-9.8607,124.284,78.69,53,91,1.97,ID,28800
Kulu,39.0951,33.0799,51.87,31,12,2.06,TR,10800
Bairiki Village,1.3292,172.9752,80.11,70,100,7.14,KI,43200
Fairbanks,64.8378,-147.7164,42.76,71,1,0.0,US,-28800
Limbang,4.75,115.0,78.91,95,100,1.81,MY,28800
São João da Barra,-21.6403,-41.0511,72.88,85,5,20.07,BR,-10800
Makrāna,27.05,74.7167,69.37,60,0,8.12,IN,19800
Arlit,18.7369,7.3853,84.47,14,4,8.61,NE,3600
Gaoual,11.75,-13.2,74.95,93,100,2.62,GN,0
Belaya Gora,68.5333,146.4167,-6.97,90,84,4.9,RU,39600
Leopold,-38.1833,144.4667,59.99,75,75,5.99,AU,39600
Homa Bay,-0.5273,34.4571,66.15,81,52,4.12,KE,10800
Salinópolis,-0.6136,-47.3561,80.22,83,70,9.8,BR,-10800
Simpang,-1.2667,104.0833,77.7,92,97,1.7,ID,25200
Oodweyne,9.4092,45.064,70.2,28,6,11.16,SO,10800
Acaraú,-2.8856,-40.12,80.19,80,75,13.33,BR,-10800
Mattru,7.6244,-11.8332,74.03,98,100,1.92,SL,0
Ilorin,8.5,4.55,72.16,90,86,3.09,NG,3600
Shingū,33.7333,135.9833,61.25,46,22,3.58,JP,32400
Taltal,-25.4,-70.4833,58.53,80,16,5.39,CL,-10800
Clarence Town,-32.5833,151.7833,72.14,72,87,5.26,AU,39600
Vila Velha,-20.3297,-40.2925,73.35,88,75,9.22,BR,-10800
Wuwei,37.9281,102.6414,42.94,66,69,1.99,CN,28800
Kanlagay,5.8757,121.2915,80.08,83,100,2.86,PH,28800
Rongcheng,30.634,117.8517,57.92,86,98,0.29,CN,28800
North Bend,43.4065,-124.2243,58.95,94,90,5.75,US,-25200
Santa Branca,-23.3967,-45.8839,74.46,63,45,3.27,BR,-10800
Bentonville,36.3728,-94.2088,73.87,72,1,4.0,US,-18000
La Massana,42.5667,1.4833,35.73,68,0,1.14,AD,7200
Coruripe,-10.1256,-36.1756,78.78,84,19,14.97,BR,-10800
Okha,53.5739,142.9478,36.86,83,100,18.3,RU,39600
Tilichiki,60.4667,166.1,12.13,87,99,8.52,RU,43200
Nisibis,37.0778,41.2178,63.93,19,0,5.01,TR,10800
Kuala Terengganu,5.3302,103.1408,78.22,86,74,3.04,MY,28800
Terra Santa,-2.1042,-56.4869,78.49,82,100,3.11,BR,-10800
Skjervøy,70.0311,20.9714,35.2,77,96,1.12,NO,7200
Kalmunai,7.4167,81.8167,76.95,86,45,3.18,LK,19800
Porto Velho,-8.7619,-63.9039,84.25,74,0,2.3,BR,-14400
Pizarro,4.9533,-77.366,75.16,88,100,2.28,CO,-18000
Baijiantan,45.6333,85.1833,35.65,45,0,1.21,CN,28800
Solnechnyy,50.7214,136.6319,40.41,70,0,1.81,RU,36000
Vostok,46.4856,135.8833,40.12,59,4,5.88,RU,36000
Sibolga,1.7427,98.7792,76.33,89,100,2.77,ID,25200
Roura,4.7263,-52.3274,77.97,100,75,0.0,GF,-10800
Port Hedland,-20.3167,118.5667,93.25,12,91,19.57,AU,28800
Bismarck,46.8083,-100.7837,47.88,61,1,13.8,US,-18000
Vanimo,-2.6741,141.3028,84.61,66,53,7.23,PG,36000
Granada,37.1882,-3.6067,58.19,82,0,0.0,ES,7200
Nuevo Progreso,23.1667,-97.95,83.59,76,91,1.99,MX,-18000
La Ronge,55.1001,-105.2842,39.15,66,10,14.76,CA,-21600
Douglas,41.3,-96.167,58.75,54,90,5.01,US,-18000
Autazes,-3.5797,-59.1306,77.54,85,89,2.91,BR,-14400
Alanya,36.5438,31.9998,59.13,35,0,4.12,TR,10800
Tondano,1.3038,124.9112,73.49,74,98,1.83,ID,28800
Goderich,43.7501,-81.7165,45.03,79,95,9.57,CA,-14400
Sola,-13.8833,167.55,81.14,76,24,17.63,VU,39600
Coos Bay,43.3665,-124.2179,59.02,94,90,5.75,US,-25200
Kwinana,-32.25,115.7667,71.24,63,44,4.59,AU,28800
Cayenne,4.9333,-52.3333,78.1,89,75,0.0,GF,-10800
Samarai,-10.6167,150.6667,80.91,81,61,12.03,PG,36000
Kuril'sk,45.2333,147.8833,48.69,67,80,17.2,RU,36000
Kushima,31.4583,131.2333,65.05,64,52,8.81,JP,32400
Valley City,46.9233,-98.0032,40.19,75,1,8.05,US,-18000
Ust-Nera,64.5667,143.2,3.25,97,72,5.01,RU,36000
Merauke,-8.4667,140.3333,84.74,60,60,10.45,ID,32400
Jablanica,43.6603,17.7617,48.33,94,86,7.11,BA,7200
Sinnamary,5.3833,-52.95,78.17,87,100,9.89,GF,-10800
Wasserburg,48.4411,10.2693,39.76,89,10,6.91,DE,7200
Lagoa,39.05,-27.9833,65.95,63,20,12.8,PT,0
Naze,28.3667,129.4833,63.52,64,99,21.21,JP,32400
Fort Nelson,58.8053,-122.7002,45.34,74,69,5.82,CA,-25200
Dhidhdhoo,6.8833,73.1,80.89,80,100,14.72,MV,18000
Atherton,53.5237,-2.4935,53.22,73,100,5.99,GB,3600
Konstantinovka,49.6167,127.9833,41.81,64,10,4.72,RU,32400
Ossora,59.2353,163.0719,28.56,84,92,5.84,RU,43200
Sabang,5.8933,95.3214,80.89,76,97,2.39,ID,25200
Palencia,42.4167,-4.5,43.34,63,81,1.99,ES,7200
Sertanópolis,-23.0586,-51.0364,68.07,88,95,4.27,BR,-10800
Pacifica,37.6138,-122.4869,68.0,78,90,4.0,US,-25200
Teya,60.3778,92.6267,34.93,96,100,13.91,RU,25200
Springbok,-29.6643,17.8865,46.71,75,0,7.18,ZA,7200
Raudeberg,61.9875,5.1352,48.87,81,100,14.0,NO,7200
Urlaţi,44.9833,26.2333,55.83,71,100,4.54,RO,10800
Ngunguru,-35.6167,174.5,64.17,97,100,21.25,NZ,46800
Am Timan,11.0297,20.2827,75.36,79,29,5.06,TD,3600
Buraidah,26.326,43.975,75.65,18,0,10.51,SA,10800
Waddān,29.1614,16.139,79.21,21,86,11.25,LY,7200
Portland,45.5234,-122.6762,56.86,94,90,1.01,US,-25200
Kavieng,-2.5744,150.7967,85.66,67,68,11.74,PG,36000
Rochester,43.1548,-77.6156,46.08,83,75,0.0,US,-14400
Quelimane,-17.8786,36.8883,72.97,80,4,5.79,MZ,7200
Nabire,-3.3667,135.4833,80.51,85,91,0.4,ID,32400
Gijang,35.2442,129.2139,59.38,52,95,3.69,KR,32400
Bāfq,31.6128,55.4107,56.82,23,0,1.28,IR,12600
Altos del Rosario,8.7944,-74.1658,76.28,96,96,1.59,CO,-18000
Moorhead,46.8739,-96.7676,44.62,67,1,4.61,US,-18000
Sigli,5.3848,95.9609,78.58,83,99,3.85,ID,25200
Mizdah,31.4451,12.9801,71.78,47,99,4.29,LY,7200
Mezen',65.8522,44.24,30.69,86,100,5.46,RU,10800
Whitehaven,54.549,-3.5841,50.85,91,100,15.99,GB,3600
Chapais,49.7834,-74.8492,31.69,84,100,0.87,CA,-14400
Kigoma,-4.8769,29.6267,77.13,72,29,6.44,TZ,10800
Joensuu,62.6012,29.7632,33.28,90,0,3.0,FI,10800
Pathein,16.7833,94.7333,74.46,94,66,2.91,MM,23400
Bossangoa,6.4926,17.4552,69.37,97,57,4.14,CF,3600
Fare,-16.7,-151.0167,77.58,82,100,13.85,PF,-36000
Charters Towers,-20.1,146.2667,87.6,33,62,9.91,AU,36000
Nanning,22.8167,108.3167,60.53,74,75,4.36,CN,28800
Beisfjord,68.3751,17.5988,35.26,91,92,6.2,NO,7200
Uvira,-3.4067,29.1458,75.78,72,33,5.41,CD,7200
Rundu,-17.9333,19.7667,79.02,41,91,1.61,NA,7200
Kloulklubed,7.0419,134.2556,84.7,71,37,2.59,PW,32400
Līsakovsk,52.5369,62.4936,49.06,82,100,11.79,KZ,21600
Kontagora,10.3999,5.4695,72.5,82,92,3.87,NG,3600
Iranshahr,27.2025,60.6848,64.09,14,0,1.9,IR,12600
Yakeshi,49.2833,120.7333,33.85,59,0,3.83,CN,28800
Vytegra,61.0064,36.4481,34.11,81,100,8.93,RU,10800
Rānikhet,29.65,79.4167,48.13,89,1,3.18,IN,19800
Sibut,5.718,19.0739,70.48,95,29,2.06,CF,3600
Contamana,-7.3333,-75.0167,86.72,53,59,5.44,PE,-18000
Zhongshu,24.5167,103.7667,50.13,98,100,3.49,CN,28800
Fallon,39.4735,-118.7774,55.27,58,75,4.61,US,-25200
Nemuro,43.3236,145.575,43.23,67,6,15.43,JP,32400
Qax,41.4225,46.9242,41.99,52,0,4.27,AZ,14400
Ürümqi,43.801,87.6005,32.95,93,0,2.24,CN,28800
Matara,5.9485,80.5353,77.74,83,62,9.64,LK,19800
Meulaboh,4.1363,96.1285,77.02,86,100,3.33,ID,25200
Haldwani,29.2167,79.5167,65.26,70,0,5.06,IN,19800
Lavrentiya,65.5833,-171.0,24.48,84,100,9.69,RU,43200
Pokosnoye,55.5258,101.0536,31.24,83,52,7.09,RU,28800
Ortona,42.3496,14.4039,64.87,88,97,9.89,IT,7200
Simao,22.7886,100.9748,59.74,98,100,1.41,CN,28800
Pandan,14.0453,124.1694,81.0,84,100,8.1,PH,28800
Huarmey,-10.0681,-78.1522,64.36,83,17,10.38,PE,-18000
Santa Fe,-31.6333,-60.7,66.74,78,21,4.07,AR,-10800
Seryshevo,51.0933,128.3786,39.69,73,21,3.49,RU,32400
Hammerfest,70.6634,23.6821,30.65,100,75,5.75,NO,7200
Siocon,7.7061,122.1353,79.18,85,100,2.73,PH,28800
Marzuq,14.4,46.4667,68.02,34,20,2.13,YE,10800
Puerto Baquerizo Moreno,-0.9,-89.6,69.01,86,95,10.98,EC,-21600
Waingapu,-9.6567,120.2641,82.35,69,43,1.79,ID,28800
